"Hole Angular Displacement"
"Time (sec)","Angular Displacement1 (deg)"
8.19333333333344,-154.436686666743
8.20000000000011,-158.077400000076
8.20666666666677,-161.718113333409
8.21333333333344,-165.358826666741
8.22000000000011,-168.999540000074
8.22666666666677,-172.640253333407
8.23333333333344,-176.28096666674
8.2400000000001,-179.921680000073
8.24666666666677,176.437606666593
8.25333333333344,172.79689333326
8.2600000000001,169.156179999927
8.26666666666677,165.515466666594
8.27333333333343,161.874753333261
8.2800000000001,158.234039999928
8.28666666666676,154.593326666595
8.29333333333343,150.952613333262
8.3000000000001,147.311899999929
8.30666666666676,143.671186666597
8.31333333333343,140.030473333264
8.32000000000009,136.389759999931
8.32666666666676,132.749046666598
8.33333333333343,129.108333333265
8.34000000000009,125.467619999932
8.34666666666676,121.826906666599
8.35333333333342,118.186193333266
8.36000000000009,114.545479999933
8.36666666666676,110.9047666666
8.37333333333342,107.264053333266
8.38000000000009,103.623339999933
8.38666666666675,99.9826266666004
8.39333333333342,96.3419133332682
8.40000000000009,92.7011999999351
8.40666666666675,89.0604866666021
8.41333333333342,85.419773333269
8.42000000000008,81.779059999936
8.42666666666675,78.138346666603
8.43333333333342,74.4976333332699
8.44000000000008,70.8569199999369
8.44666666666675,67.2162066666038
8.45333333333341,63.5754933332708
8.46000000000008,59.9347799999378
8.46666666666674,56.2940666666047
8.47333333333341,52.6533533332725
8.48000000000008,49.0126399999394
8.48666666666674,45.3719266666064
8.49333333333341,41.7312133332733
8.50000000000007,38.0904999999403
8.50666666666674,34.4497866666073
8.51333333333341,30.8090733332742
8.52000000000007,27.1683599999412
8.52666666666674,23.5276466666081
8.5333333333334,19.8869333332751
8.54000000000007,16.246219999942
8.54666666666674,12.605506666609
8.5533333333334,8.96479333327595
8.56000000000007,5.32407999994291
8.56666666666673,1.68336666661068
8.5733333333334,-1.95734666672237
8.58000000000007,-5.59806000005541
8.58666666666673,-9.23877333338845
8.5933333333334,-12.8794866667215
8.60000000000006,-16.5202000000545
8.60666666666673,-20.1609133333876
8.6133333333334,-23.8016266667206
8.62000000000006,-27.4423400000537
8.62666666666673,-31.0830533333867
8.63333333333339,-34.7237666667198
8.64000000000006,-38.3644800000528
8.64666666666673,-42.0051933333858
8.65333333333339,-45.6459066667181
8.66000000000006,-49.2866200000511
8.66666666666672,-52.9273333333842
8.67333333333339,-56.5680466667172
